Player,No,Position,Ht,GP,Mins,Mpg,3Pt,3P%,FG,FG%,FT,FT%,Rebounds,REB,RPG,PF,A,To,Bl,St,Pts,PPG,team
* Team Totals,NA,NA,NA,20,4002,200.1,NA,28.1,NA,40,NA,69,NA,828,41.4,352,293,326,54,135,1463,73.2,Acadia
Ashley Davis,1,Guard,5-6,9,31,3.4,NA,33.3,NA,50,NA,0,NA,2,0.2,1,1,1,0,1,9,1,Acadia
Bianca Helmig,6,Guard,5-6,20,686,34.3,NA,18.5,NA,33.3,NA,90.3,NA,89,4.5,33,90,65,2,24,184,9.2,Acadia
Elizabeth Iseyemi,8,Wing,6-0,20,638,31.9,NA,32.6,NA,50.8,NA,63.6,NA,201,10.1,59,55,53,12,40,411,20.6,Acadia
Iris Leuschner,4,Guard,5-4,13,70,5.4,NA,21.4,NA,25,NA,55.6,NA,8,0.6,4,2,4,0,2,20,1.5,Acadia
Jewel Woolfitt,3,Guard,5-7,17,195,11.5,NA,0,NA,23.5,NA,66.7,NA,38,2.2,16,5,10,0,3,16,0.9,Acadia
Julia Sylvester,15,Wing,6-1,11,267,24.3,NA,15.4,NA,39.6,NA,79.2,NA,59,5.4,29,10,22,10,8,97,8.8,Acadia
Lisa Bolander,14,Wing,5-8,18,429,23.8,NA,36.1,NA,34.8,NA,81.8,NA,55,3.1,27,21,31,0,5,185,10.3,Acadia
Madyson Eisnor,12,Guard,5-4,9,41,4.6,NA,66.7,NA,50,NA,0,NA,1,0.1,4,2,3,0,0,8,0.9,Acadia
Rio Yamazaki,9,Guard,5-3,20,258,12.9,NA,29.7,NA,35.8,NA,61.9,NA,36,1.8,36,31,27,2,15,82,4.1,Acadia
Ryan George,5,Wing,6-1,20,336,16.8,NA,20,NA,44.2,NA,58.3,NA,75,3.8,34,17,15,9,6,56,2.8,Acadia
Samantha Russell,7,Wing,6-0,19,576,30.3,NA,24.1,NA,36.8,NA,73,NA,167,8.8,42,43,50,11,21,277,14.6,Acadia
Sarah Delorey,13,Forward,6-2,5,132,26.4,NA,0,NA,50,NA,70,NA,33,6.6,13,3,12,6,3,35,7,Acadia
Sheleese Hoilett,11,Wing,5-10,15,145,9.7,NA,20,NA,48.1,NA,57.1,NA,30,2,19,6,14,2,2,32,2.1,Acadia
Taya Dixon,10,Guard,5-8,19,198,10.4,NA,37.5,NA,42.5,NA,58.3,NA,34,1.8,35,7,19,0,5,51,2.7,Acadia
